Products_ID,Category,Sub-Category
1125,Office Supplies,Markers
1126,Electronics,Laptops
1127,Electronics,Electronic Games
1128,Electronics,Printers
1129,Office Supplies,Paper
1130,Office Supplies,Paper
1131,Furniture,Tables
1132,Electronics,Laptops
1133,Electronics,Laptops
1134,Electronics,Laptops
1135,Office Supplies,Markers
1136,Electronics,Laptops
1137,Electronics,Printers
1138,Electronics,Printers
1139,Furniture,Sofas
1140,Furniture,Sofas
1141,Electronics,Electronic Games
1142,Office Supplies,Paper
1143,Electronics,Electronic Games
1144,Electronics,Electronic Games
1145,Electronics,Phones
1146,Furniture,Sofas
1147,Office Supplies,Paper
1148,Furniture,Sofas
1149,Office Supplies,Pens
1150,Office Supplies,Pens
1151,Office Supplies,Paper
1152,Furniture,Tables
1153,Furniture,Tables
1154,Office Supplies,Binders
1155,Furniture,Sofas
1156,Furniture,Sofas
1157,Furniture,Tables
1158,Furniture,Tables
1159,Office Supplies,Markers
1160,Office Supplies,Markers
1161,Office Supplies,Pens
1162,Office Supplies,Pens
1163,Electronics,Laptops
1164,Electronics,Laptops
1165,Electronics,Laptops
1166,Electronics,Electronic Games
1167,Electronics,Electronic Games
1168,Office Supplies,Pens
1169,Office Supplies,Markers
1170,Office Supplies,Markers
1171,Furniture,Bookcases
1172,Office Supplies,Markers
1173,Electronics,Laptops
1174,Furniture,Sofas
1175,Furniture,Sofas
1176,Electronics,Laptops
1177,Electronics,Phones
1178,Furniture,Tables
1179,Furniture,Tables
1180,Furniture,Tables
1181,Office Supplies,Paper
1182,Office Supplies,Paper
1183,Electronics,Electronic Games
1184,Electronics,Electronic Games
1185,Office Supplies,Binders
1186,Furniture,Sofas
1187,Furniture,Bookcases
1188,Furniture,Bookcases
1189,Electronics,Electronic Games
1190,Furniture,Tables
1191,Electronics,Phones
1192,Electronics,Phones
1193,Electronics,Phones
1194,Office Supplies,Markers
